label,count,total_duration_s,median_duration_s,mean_duration_s,n_sessions,n_machines,share_of_segments,share_of_time,consistency_score,n_distinct_apps,n_distinct_routes,top_app,top_route
proc_35_microsoft-edge_onboarding,2,53.0,36.0,26.5,2,2,0.0044,0.005,0.642,4,1,Microsoft Edge,#/onboarding
proc_21_microsoft-edge_leave-applications,2,50.0,31.0,25.0,2,1,0.0044,0.0047,0.76,2,1,Microsoft Edge,#/leave-applications
proc_39_notepad_http-127-0-0-1-5133,2,42.0,23.0,21.0,2,1,0.0044,0.004,0.905,3,5,Notepad,#/http:/127.0.0.1:5133
proc_46_microsoft-edge_dashboard,2,36.0,19.0,18.0,2,2,0.0044,0.0034,0.944,3,5,Microsoft Edge,#/dashboard
proc_93_microsoft-excel_leave-applications,2,45.0,26.0,22.5,2,2,0.0044,0.0043,0.844,3,2,Microsoft Excel,#/leave-applications
proc_58_microsoft-edge_http-127-0-0-1-5132,2,34.0,19.0,17.0,2,1,0.0044,0.0032,0.882,3,4,Microsoft Edge,#/http:/127.0.0.1:5132
proc_07_microsoft-edge_onboarding,2,35.0,19.0,17.5,1,1,0.0044,0.0033,0.914,2,1,Microsoft Edge,#/onboarding
proc_48_microsoft-edge,2,58.0,35.0,29.0,1,1,0.0044,0.0055,0.793,4,0,Microsoft Edge,
proc_59_notepad_leave-applications,1,30.0,30.0,30.0,1,1,0.0022,0.0028,1.0,1,0,Notepad,
proc_96_microsoft-word_leave-applications,1,20.0,20.0,20.0,1,1,0.0022,0.0019,1.0,2,1,Microsoft Word,#/leave-applications
proc_79_procmine-desktop-agent,1,13.0,13.0,13.0,1,1,0.0022,0.0012,1.0,3,0,procmine-desktop-agent,
proc_60_microsoft-excel_onboarding,1,25.0,25.0,25.0,1,1,0.0022,0.0024,1.0,3,2,Microsoft Excel,#/onboarding
proc_56_microsoft-word_payroll-items,1,17.0,17.0,17.0,1,1,0.0022,0.0016,1.0,2,2,Microsoft Word,#/payroll-items
proc_85_microsoft-edge_resident-tax,1,46.0,46.0,46.0,1,1,0.0022,0.0044,1.0,2,2,Microsoft Edge,#/resident-tax
proc_95_microsoft-word,1,20.0,20.0,20.0,1,1,0.0022,0.0019,1.0,1,0,Microsoft Word,
proc_73_windowsterminal_dashboard,1,16.0,16.0,16.0,1,1,0.0022,0.0015,1.0,3,1,WindowsTerminal,#/dashboard
proc_55_windows-explorer_onboarding,1,23.0,23.0,23.0,1,1,0.0022,0.0022,1.0,2,0,Notepad,
proc_75_microsoft-edge_onboarding,1,16.0,16.0,16.0,1,1,0.0022,0.0015,1.0,3,1,Microsoft Edge,#/onboarding
proc_51_openwith_payroll-items,1,24.0,24.0,24.0,1,1,0.0022,0.0023,1.0,2,1,OpenWith,#/payroll-items
proc_89_microsoft-excel_payroll-items,1,16.0,16.0,16.0,1,1,0.0022,0.0015,1.0,4,1,Microsoft Excel,#/payroll-items
proc_90_microsoft-edge_payroll-items,1,18.0,18.0,18.0,1,1,0.0022,0.0017,1.0,2,1,Microsoft Edge,#/payroll-items
proc_87_windows-explorer,1,1.0,1.0,1.0,1,1,0.0022,0.0001,1.0,2,0,Windows Explorer,
proc_82_microsoft-edge_leave-applications,1,20.0,20.0,20.0,1,1,0.0022,0.0019,1.0,2,2,Microsoft Edge,#/leave-applications
proc_70_openwith_onboarding,1,15.0,15.0,15.0,1,1,0.0022,0.0014,1.0,2,1,OpenWith,#/onboarding
proc_62_openwith_social-insurance,1,16.0,16.0,16.0,1,1,0.0022,0.0015,1.0,3,2,OpenWith,#/social-insurance
proc_53_windows-explorer,1,4.0,4.0,4.0,1,1,0.0022,0.0004,1.0,3,0,Windows Explorer,
proc_80_microsoft-edge_http-127-0-0-1-5133,1,16.0,16.0,16.0,1,1,0.0022,0.0015,1.0,1,4,Microsoft Edge,#/http:/127.0.0.1:5133
proc_67_microsoft-excel_onboarding,1,15.0,15.0,15.0,1,1,0.0022,0.0014,1.0,2,1,Microsoft Excel,#/onboarding
proc_94_microsoft-edge_payroll-items,1,18.0,18.0,18.0,1,1,0.0022,0.0017,1.0,3,2,Microsoft Edge,#/payroll-items
proc_78_microsoft-word_social-insurance,1,17.0,17.0,17.0,1,1,0.0022,0.0016,1.0,3,1,Microsoft Word,#/social-insurance
proc_92_microsoft-edge_resident-tax,1,19.0,19.0,19.0,1,1,0.0022,0.0018,1.0,1,2,Microsoft Edge,#/resident-tax
proc_49_microsoft-word,1,9.0,9.0,9.0,1,1,0.0022,0.0009,1.0,4,0,Microsoft Word,
proc_97_microsoft-edge_leave-applications,1,25.0,25.0,25.0,1,1,0.0022,0.0024,1.0,2,1,Microsoft Edge,#/leave-applications
proc_74_microsoft-edge_leave-applications,1,19.0,19.0,19.0,1,1,0.0022,0.0018,1.0,2,2,Microsoft Edge,#/leave-applications
proc_68_microsoft-edge_onboarding,1,24.0,24.0,24.0,1,1,0.0022,0.0023,1.0,1,2,Microsoft Edge,#/onboarding
proc_33_notepad,1,21.0,21.0,21.0,1,1,0.0022,0.002,1.0,2,0,Notepad,
proc_76_microsoft-edge_payroll-items,1,25.0,25.0,25.0,1,1,0.0022,0.0024,1.0,2,1,Microsoft Edge,#/payroll-items
proc_54_microsoft-edge_dashboard,1,10.0,10.0,10.0,1,1,0.0022,0.0009,1.0,4,1,Microsoft Edge,#/dashboard
